Subject;Area;Word_ID;Accuracy;Type;Word_ID_num;resp_resp
10;cedx;corrente;1;Studied_word;20;1
10;cedx;digerire;1;Studied_word;23;1
10;cedx;dolce;1;Studied_word;24;1
10;cedx;dolore;1;Studied_word;27;1
10;cedx;filo;1;Studied_word;30;1
10;cedx;foce;1;Studied_word;32;1
10;cedx;furfante;1;Studied_word;37;1
10;cedx;italia;1;Studied_word;48;1
10;cedx;italiana;1;Studied_word;49;1
10;cedx;materasso;1;Studied_word;56;1
10;cedx;morbido;1;Studied_word;58;1
10;cedx;mosca;0;Studied_word;59;0
10;cedx;nota;1;Studied_word;61;1
10;cedx;pesce;1;Studied_word;65;1
10;cedx;piume;1;Studied_word;71;1
10;cedx;tela;1;Studied_word;90;1
10;cedx;velenoso;1;Studied_word;95;1
10;cedx;bucata;1;Unrelated;12;0
10;cedx;caldo;1;Unrelated;13;0
10;cedx;carina;1;Unrelated;18;0
10;cedx;forno;1;Unrelated;33;0
10;cedx;giovane;1;Unrelated;41;0
10;cedx;gomma;1;Unrelated;43;0
10;cedx;masticare;1;Unrelated;55;0
10;cedx;monarchia;1;Unrelated;57;0
10;cedx;pane;1;Unrelated;62;0
10;cedx;pasta;1;Unrelated;63;0
10;cedx;piacevole;1;Unrelated;66;0
10;cedx;potere;1;Unrelated;75;0
10;cedx;ragazza;1;Unrelated;78;0
10;cedx;re;1;Unrelated;80;0
10;cedx;ruota;1;Unrelated;82;0
10;cedx;trono;1;Unrelated;92;0
10;cz;alto;1;Critical_lure;3;0
10;cz;freddo;0;Critical_lure;35;1
10;cz;fumo;0;Critical_lure;36;1
10;cz;giustizia;1;Critical_lure;42;0
10;cz;lampada;0;Critical_lure;51;1
10;cz;lento;1;Critical_lure;52;0
10;cz;penna;1;Critical_lure;64;0
10;cz;sedia;1;Critical_lure;87;0
10;cz;basso;1;Studied_word;10;1
10;cz;calmo;0;Studied_word;14;0
10;cz;calore;1;Studied_word;15;1
10;cz;desiderio;1;Studied_word;22;1
10;cz;equita';1;Studied_word;29;1
10;cz;ghiaccio;1;Studied_word;39;1
10;cz;gigante;1;Studied_word;40;1
10;cz;grattacielo;1;Studied_word;44;1
10;cz;inchiostro;1;Studied_word;45;1
10;cz;inquinamento;1;Studied_word;46;1
10;cz;luce;1;Studied_word;53;1
10;cz;pioggia;0;Studied_word;68;0
10;cz;pipa;1;Studied_word;69;1
10;cz;piuma;1;Studied_word;70;1
10;cz;polizia;1;Studied_word;72;1
10;cz;polmoni;0;Studied_word;73;0
10;cz;poltrona;1;Studied_word;74;1
10;cz;privata;0;Studied_word;76;0
10;cz;scomoda;1;Studied_word;85;1
10;cz;scuola;1;Studied_word;86;1
10;cz;tavolo;1;Studied_word;89;1
10;cz;tiepido;1;Studied_word;91;1
10;cz;valzer;0;Studied_word;94;0
10;cz;veloce;1;Studied_word;96;1
10;cz;bello;1;Unrelated;11;0
10;cz;caramella;1;Unrelated;17;0
10;cz;crosata;1;Unrelated;21;0
10;cz;dolce;0;Unrelated;25;1
10;cz;dolere;1;Unrelated;26;0
10;cz;donna;1;Unrelated;28;0
10;cz;forza;1;Unrelated;34;0
10;cz;furioso;1;Unrelated;38;0
10;cz;ira;1;Unrelated;47;0
10;cz;malcontento;1;Unrelated;54;0
10;cz;piede;1;Unrelated;67;0
10;cz;rabbia;1;Unrelated;77;0
10;cz;ritmo;0;Unrelated;81;1
10;cz;sapore;1;Unrelated;83;0
10;cz;scarpa;1;Unrelated;84;0
10;cz;uomo;1;Unrelated;93;0
11;cedx;alto;0;Critical_lure;3;1
11;cedx;freddo;0;Critical_lure;35;1
11;cedx;fumo;0;Critical_lure;36;1
11;cedx;giustizia;0;Critical_lure;42;1
11;cedx;lampada;1;Critical_lure;51;0
11;cedx;lento;0;Critical_lure;52;1
11;cedx;penna;1;Critical_lure;64;0
11;cedx;sedia;1;Critical_lure;87;0
11;cedx;basso;1;Studied_word;10;1
11;cedx;calmo;0;Studied_word;14;0
11;cedx;calore;0;Studied_word;15;0
11;cedx;desiderio;0;Studied_word;22;0
11;cedx;equita';0;Studied_word;29;0
11;cedx;ghiaccio;1;Studied_word;39;1
11;cedx;gigante;0;Studied_word;40;0
11;cedx;grattacielo;0;Studied_word;44;0
11;cedx;inchiostro;1;Studied_word;45;1
11;cedx;inquinamento;0;Studied_word;46;0
11;cedx;luce;1;Studied_word;53;1
11;cedx;pioggia;1;Studied_word;68;1
11;cedx;pipa;1;Studied_word;69;1
11;cedx;piuma;1;Studied_word;70;1
11;cedx;polizia;1;Studied_word;72;1
11;cedx;polmoni;0;Studied_word;73;0
11;cedx;poltrona;0;Studied_word;74;0
11;cedx;privata;1;Studied_word;76;1
11;cedx;scomoda;0;Studied_word;85;0
11;cedx;scuola;1;Studied_word;86;1
11;cedx;tavolo;1;Studied_word;89;1
11;cedx;tiepido;1;Studied_word;91;1
11;cedx;valzer;1;Studied_word;94;1
11;cedx;veloce;0;Studied_word;96;0
11;cedx;bello;1;Unrelated;11;0
11;cedx;caramella;1;Unrelated;17;0
11;cedx;crosata;1;Unrelated;21;0
11;cedx;dolce;1;Unrelated;25;0
11;cedx;dolere;1;Unrelated;26;0
11;cedx;donna;1;Unrelated;28;0
11;cedx;forza;1;Unrelated;34;0
11;cedx;furioso;1;Unrelated;38;0
11;cedx;ira;1;Unrelated;47;0
11;cedx;malcontento;1;Unrelated;54;0
11;cedx;piede;1;Unrelated;67;0
11;cedx;rabbia;1;Unrelated;77;0
11;cedx;ritmo;0;Unrelated;81;1
11;cedx;sapore;1;Unrelated;83;0
11;cedx;scarpa;1;Unrelated;84;0
11;cedx;uomo;1;Unrelated;93;0
11;cz;ago;1;Critical_lure;1;0
11;cz;amaro;0;Critical_lure;4;1
11;cz;bandiera;0;Critical_lure;8;1
11;cz;fiume;1;Critical_lure;31;0
11;cz;ladro;0;Critical_lure;50;1
11;cz;musica;1;Critical_lure;60;0
11;cz;ragno;0;Critical_lure;79;1
11;cz;soffice;1;Critical_lure;88;0
11;cz;alcolico;0;Studied_word;2;0
11;cz;arpa;1;Studied_word;5;1
11;cz;assassino;0;Studied_word;6;0
11;cz;asta;1;Studied_word;7;1
11;cz;bandito;1;Studied_word;9;1
11;cz;cammello;1;Studied_word;16;1
11;cz;concerto;1;Studied_word;19;1
